Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.48     0.00  2528794     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true> const&)
  0.00      0.48     0.00  2528794     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.48     0.00  2400003     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.48     0.00  2400003     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.48     0.00  2400003     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.48     0.00  2078225     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_before_begin()
  0.00      0.48     0.00  1600002     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(int const&, unsigned long) const
  0.00      0.48     0.00  1600002     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.48     0.00  1600002     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.48     0.00  1600002     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
